INSERT INTO PossibleTA VALUES ('48', 'PY52004');
INSERT INTO PossibleTA VALUES ('912', 'DS51005');
INSERT INTO PossibleTA VALUES ('522', 'NB30119');
INSERT INTO PossibleTA VALUES ('132', 'PY50003');
INSERT INTO PossibleTA VALUES ('686', 'BU12003');
INSERT INTO PossibleTA VALUES ('136', 'AC52039');
INSERT INTO PossibleTA VALUES ('835', 'AC51041');
INSERT INTO PossibleTA VALUES ('179', 'LW31002');
INSERT INTO PossibleTA VALUES ('780', 'AC41012');
INSERT INTO PossibleTA VALUES ('215', 'DS51005');
INSERT INTO PossibleTA VALUES ('936', 'BU30005');
INSERT INTO PossibleTA VALUES ('54', 'DJ52026');
INSERT INTO PossibleTA VALUES ('59', 'GM51075');
INSERT INTO PossibleTA VALUES ('431', 'AC52039');
INSERT INTO PossibleTA VALUES ('338', 'BS42009');
INSERT INTO PossibleTA VALUES ('559', 'DS53002');
INSERT INTO PossibleTA VALUES ('116', 'AC53008');
INSERT INTO PossibleTA VALUES ('432', 'PY50003');
INSERT INTO PossibleTA VALUES ('22', 'DS51005');
INSERT INTO PossibleTA VALUES ('707', 'DS51005');
INSERT INTO PossibleTA VALUES ('784', 'LW31002');
INSERT INTO PossibleTA VALUES ('255', 'PY5XXX1');
INSERT INTO PossibleTA VALUES ('82', 'MA31007');
INSERT INTO PossibleTA VALUES ('171', 'BS31013');
INSERT INTO PossibleTA VALUES ('330', 'PY52004');
INSERT INTO PossibleTA VALUES ('982', 'DS52016');
INSERT INTO PossibleTA VALUES ('294', 'BU40008');
INSERT INTO PossibleTA VALUES ('688', 'BU30011');
INSERT INTO PossibleTA VALUES ('760', 'MA52006');
INSERT INTO PossibleTA VALUES ('962', 'BU41007');
INSERT INTO PossibleTA VALUES ('778', 'BS42019');
INSERT INTO PossibleTA VALUES ('948', 'BS42017');
INSERT INTO PossibleTA VALUES ('630', 'PY52004');
INSERT INTO PossibleTA VALUES ('192', 'LW50108');
INSERT INTO PossibleTA VALUES ('987', 'BS42017');
INSERT INTO PossibleTA VALUES ('79', 'DS50011');
INSERT INTO PossibleTA VALUES ('208', 'DJ52026');
INSERT INTO PossibleTA VALUES ('943', 'BS42023');
INSERT INTO PossibleTA VALUES ('92', 'BS42009');
INSERT INTO PossibleTA VALUES ('563', 'MA31007');
INSERT INTO PossibleTA VALUES ('584', 'LW31002');
INSERT INTO PossibleTA VALUES ('387', 'LW31002');
INSERT INTO PossibleTA VALUES ('424', 'LW52122');
INSERT INTO PossibleTA VALUES ('404', 'DJ41005');
INSERT INTO PossibleTA VALUES ('934', 'BU30022');
INSERT INTO PossibleTA VALUES ('994', 'PY40031');
INSERT INTO PossibleTA VALUES ('235', 'GE52030');
INSERT INTO PossibleTA VALUES ('300', 'BS32026');
INSERT INTO PossibleTA VALUES ('343', 'PY22002');
INSERT INTO PossibleTA VALUES ('411', 'MA53002');
INSERT INTO PossibleTA VALUES ('522', 'AC53008');
INSERT INTO PossibleTA VALUES ('808', 'AC52013');
INSERT INTO PossibleTA VALUES ('216', 'LW52122');
INSERT INTO PossibleTA VALUES ('368', 'AC52013');
INSERT INTO PossibleTA VALUES ('686', 'AC21009');
INSERT INTO PossibleTA VALUES ('952', 'BU40025');
INSERT INTO PossibleTA VALUES ('480', 'BU30022');
INSERT INTO PossibleTA VALUES ('604', 'LW31035');
INSERT INTO PossibleTA VALUES ('903', 'PY22002');
INSERT INTO PossibleTA VALUES ('891', 'MA31007');
INSERT INTO PossibleTA VALUES ('420', 'BU22005');
INSERT INTO PossibleTA VALUES ('328', 'BS42017');
INSERT INTO PossibleTA VALUES ('179', 'AC31009');
INSERT INTO PossibleTA VALUES ('10', 'LW21002');
INSERT INTO PossibleTA VALUES ('340', 'AC22006');
INSERT INTO PossibleTA VALUES ('954', 'AC22006');
INSERT INTO PossibleTA VALUES ('944', 'BU30002');
INSERT INTO PossibleTA VALUES ('844', 'DS53002');
INSERT INTO PossibleTA VALUES ('132', 'NB30101');
INSERT INTO PossibleTA VALUES ('904', 'PY40024');
INSERT INTO PossibleTA VALUES ('164', 'PY5XXX3');
INSERT INTO PossibleTA VALUES ('207', 'AC52013');
INSERT INTO PossibleTA VALUES ('551', 'MA53003');
